Station_name,Day_of_week,Time_slot,Weather_condition,Event_nearby,Is_holiday,Avg_passenger_count
Inderlok,Saturday,Night(9PM - 11PM),Cloudy,Yes,Yes,222
Rajiv Chowk,Monday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1055
New Delhi,Sunday,Afternoon(11AM - 2PM),Clear,Yes,Yes,655
Noida City Centre,Friday,Afternoon(11AM - 2PM),Cloudy,Yes,No,215
Inderlok,Monday,Night(9PM - 11PM),Cloudy,Yes,No,390
Mayur Vihar,Saturday,Afternoon(11AM - 2PM),Clear,Yes,Yes,193
Rajiv Chowk,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,979
Yamuna Bank,Wednesday,Night(9PM - 11PM),Foggy,Yes,No,361
Yamuna Bank,Tuesday,Morning(7PM - 10 AM),Clear,Yes,Yes,617
Kashmere Gate,Wednesday,Night(9PM - 11PM),Foggy,Yes,Yes,1150
New Delhi,Tuesday,Evening(4PM - 8PM),Foggy,Yes,No,779
Dwarka Sector 21,Sunday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,368
MG Road,Thursday,Night(9PM - 11PM),Rainy,No,Yes,554
Kashmere Gate,Monday,Evening(4PM - 8PM),Clear,Yes,Yes,1032
Vaishali,Monday,Morning(7PM - 10 AM),Rainy,Yes,Yes,577
Botanical Garden,Thursday,Evening(4PM - 8PM),Rainy,Yes,No,313
Botanical Garden,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,474
Karol Bagh,Thursday,Night(9PM - 11PM),Clear,Yes,Yes,512
Hauz Khas,Sunday,Night(9PM - 11PM),Cloudy,Yes,Yes,212
Botanical Garden,Saturday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,282
Saket,Thursday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,502
Kashmere Gate,Tuesday,Night(9PM - 11PM),Foggy,Yes,Yes,1106
Vaishali,Saturday,Morning(7PM - 10 AM),Rainy,Yes,Yes,345
Shivaji Stadium,Thursday,Morning(7PM - 10 AM),Foggy,Yes,No,465
Hauz Khas,Monday,Night(9PM - 11PM),Clear,Yes,Yes,500
Dwarka Sector 21,Wednesday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,433
New Delhi,Tuesday,Night(9PM - 11PM),Rainy,Yes,Yes,1132
Chandni Chowk,Sunday,Afternoon(11AM - 2PM),Clear,Yes,Yes,234
Hauz Khas,Tuesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,644
Shivaji Stadium,Friday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,452
Chandni Chowk,Wednesday,Evening(4PM - 8PM),Cloudy,No,Yes,540
Inderlok,Tuesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,615
New Delhi,Thursday,Evening(4PM - 8PM),Cloudy,Yes,Yes,1028
Central Secretariat,Tuesday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,461
Inderlok,Tuesday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,506
MG Road,Tuesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,531
Shivaji Stadium,Friday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,644
Dwarka Sector 21,Tuesday,Night(9PM - 11PM),Clear,Yes,Yes,585
Botanical Garden,Tuesday,Morning(7PM - 10 AM),Clear,Yes,No,339
Vishwavidyalaya,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,438
New Delhi,Saturday,Morning(7PM - 10 AM),Clear,Yes,Yes,697
MG Road,Wednesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,614
Lajpat Nagar,Sunday,Morning(7PM - 10 AM),Foggy,Yes,Yes,302
MG Road,Saturday,Evening(4PM - 8PM),Clear,No,No,50
Shivaji Stadium,Monday,Evening(4PM - 8PM),Cloudy,Yes,No,246
Inderlok,Friday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,525
Inderlok,Friday,Morning(7PM - 10 AM),Clear,Yes,Yes,450
Central Secretariat,Tuesday,Night(9PM - 11PM),Foggy,Yes,No,337
MG Road,Tuesday,Night(9PM - 11PM),Clear,Yes,Yes,505
Mayur Vihar,Sunday,Evening(4PM - 8PM),Cloudy,Yes,Yes,211
Inderlok,Monday,Afternoon(11AM - 2PM),Clear,Yes,Yes,431
Central Secretariat,Tuesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,495
Lajpat Nagar,Thursday,Afternoon(11AM - 2PM),Clear,Yes,No,392
Mayur Vihar,Tuesday,Afternoon(11AM - 2PM),Foggy,Yes,No,407
Hauz Khas,Tuesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,478
Botanical Garden,Thursday,Morning(7PM - 10 AM),Clear,Yes,Yes,543
Central Secretariat,Monday,Morning(7PM - 10 AM),Clear,Yes,Yes,618
Shivaji Stadium,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,610
Rohini West,Friday,Night(9PM - 11PM),Cloudy,No,Yes,470
Botanical Garden,Thursday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,505
Inderlok,Wednesday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,569
Kashmere Gate,Friday,Afternoon(11AM - 2PM),Clear,Yes,Yes,996
Vaishali,Tuesday,Night(9PM - 11PM),Foggy,Yes,Yes,601
Shivaji Stadium,Sunday,Night(9PM - 11PM),Cloudy,Yes,Yes,270
Karol Bagh,Friday,Evening(4PM - 8PM),Cloudy,Yes,Yes,505
Central Secretariat,Monday,Night(9PM - 11PM),Cloudy,No,Yes,586
Vishwavidyalaya,Monday,Evening(4PM - 8PM),Rainy,Yes,Yes,530
Hauz Khas,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,622
Yamuna Bank,Friday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,698
Lajpat Nagar,Tuesday,Evening(4PM - 8PM),Clear,Yes,Yes,622
Central Secretariat,Monday,Evening(4PM - 8PM),Cloudy,Yes,Yes,479
MG Road,Saturday,Evening(4PM - 8PM),Clear,No,No,50
Noida City Centre,Tuesday,Night(9PM - 11PM),Foggy,Yes,Yes,697
New Delhi,Saturday,Night(9PM - 11PM),Clear,Yes,Yes,682
Karol Bagh,Wednesday,Night(9PM - 11PM),Clear,Yes,Yes,474
Noida City Centre,Saturday,Evening(4PM - 8PM),Cloudy,No,Yes,175
Lajpat Nagar,Monday,Morning(7PM - 10 AM),Foggy,Yes,Yes,555
Noida City Centre,Thursday,Afternoon(11AM - 2PM),Clear,No,Yes,446
Yamuna Bank,Wednesday,Night(9PM - 11PM),Rainy,Yes,No,390
Karol Bagh,Friday,Morning(7PM - 10 AM),Cloudy,Yes,No,218
Karol Bagh,Tuesday,Night(9PM - 11PM),Rainy,Yes,No,369
Central Secretariat,Monday,Night(9PM - 11PM),Cloudy,Yes,No,378
Rohini West,Wednesday,Evening(4PM - 8PM),Clear,Yes,Yes,544
Central Secretariat,Wednesday,Evening(4PM - 8PM),Cloudy,Yes,Yes,472
Noida City Centre,Monday,Night(9PM - 11PM),Clear,Yes,Yes,513
Rajiv Chowk,Friday,Afternoon(11AM - 2PM),Rainy,No,Yes,1095
New Delhi,Friday,Night(9PM - 11PM),Clear,Yes,Yes,962
Lajpat Nagar,Thursday,Afternoon(11AM - 2PM),Cloudy,No,No,184
Karol Bagh,Sunday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,155
Inderlok,Saturday,Night(9PM - 11PM),Cloudy,Yes,Yes,184
Lajpat Nagar,Friday,Afternoon(11AM - 2PM),Rainy,No,Yes,725
Saket,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,631
Saket,Saturday,Morning(7PM - 10 AM),Rainy,Yes,Yes,295
Inderlok,Wednesday,Evening(4PM - 8PM),Clear,Yes,No,325
Karol Bagh,Monday,Morning(7PM - 10 AM),Clear,Yes,Yes,512
Karol Bagh,Friday,Evening(4PM - 8PM),Rainy,Yes,Yes,565
Vaishali,Thursday,Morning(7PM - 10 AM),Rainy,Yes,No,397
Shivaji Stadium,Wednesday,Morning(7PM - 10 AM),Clear,Yes,Yes,482
Yamuna Bank,Friday,Afternoon(11AM - 2PM),Clear,Yes,Yes,424
Chandni Chowk,Tuesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,472
Central Secretariat,Sunday,Evening(4PM - 8PM),Foggy,Yes,Yes,295
Vishwavidyalaya,Wednesday,Night(9PM - 11PM),Foggy,Yes,No,422
Mayur Vihar,Friday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,601
Central Secretariat,Wednesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,648
Noida City Centre,Monday,Evening(4PM - 8PM),Foggy,Yes,Yes,590
Karol Bagh,Monday,Evening(4PM - 8PM),Cloudy,Yes,Yes,565
Vishwavidyalaya,Sunday,Evening(4PM - 8PM),Foggy,Yes,Yes,310
Mayur Vihar,Monday,Morning(7PM - 10 AM),Rainy,Yes,Yes,623
Central Secretariat,Saturday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,314
Karol Bagh,Tuesday,Night(9PM - 11PM),Cloudy,Yes,Yes,476
Rajiv Chowk,Monday,Evening(4PM - 8PM),Rainy,Yes,Yes,1132
Vishwavidyalaya,Tuesday,Morning(7PM - 10 AM),Clear,Yes,Yes,470
Chandni Chowk,Monday,Afternoon(11AM - 2PM),Rainy,Yes,No,352
Inderlok,Saturday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,313
Yamuna Bank,Wednesday,Night(9PM - 11PM),Foggy,No,Yes,596
Kashmere Gate,Friday,Evening(4PM - 8PM),Cloudy,Yes,Yes,961
New Delhi,Friday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1105
Hauz Khas,Monday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,534
Rajiv Chowk,Friday,Morning(7PM - 10 AM),Rainy,Yes,Yes,1090
Yamuna Bank,Monday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,680
Shivaji Stadium,Monday,Evening(4PM - 8PM),Rainy,Yes,Yes,657
Chandni Chowk,Sunday,Evening(4PM - 8PM),Clear,Yes,Yes,179
Inderlok,Thursday,Night(9PM - 11PM),Clear,Yes,No,243
Kashmere Gate,Thursday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,994
Noida City Centre,Sunday,Morning(7PM - 10 AM),Foggy,Yes,Yes,322
MG Road,Thursday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,515
Karol Bagh,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,515
Saket,Thursday,Night(9PM - 11PM),Foggy,Yes,Yes,538
Botanical Garden,Monday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,657
Lajpat Nagar,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,371
Hauz Khas,Saturday,Morning(7PM - 10 AM),Foggy,Yes,Yes,247
Kashmere Gate,Wednesday,Evening(4PM - 8PM),Clear,Yes,Yes,930
Noida City Centre,Thursday,Night(9PM - 11PM),Foggy,Yes,Yes,611
Vishwavidyalaya,Saturday,Night(9PM - 11PM),Rainy,No,Yes,306
Kashmere Gate,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1040
Karol Bagh,Wednesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,449
Noida City Centre,Saturday,Evening(4PM - 8PM),Clear,No,Yes,167
Saket,Monday,Evening(4PM - 8PM),Cloudy,Yes,Yes,478
Yamuna Bank,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,615
MG Road,Sunday,Morning(7PM - 10 AM),Foggy,Yes,Yes,182
Noida City Centre,Sunday,Morning(7PM - 10 AM),Rainy,Yes,Yes,395
Botanical Garden,Sunday,Night(9PM - 11PM),Rainy,No,Yes,318
Mayur Vihar,Thursday,Night(9PM - 11PM),Foggy,Yes,Yes,604
Central Secretariat,Saturday,Evening(4PM - 8PM),Clear,Yes,Yes,168
Dwarka Sector 21,Saturday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,257
Karol Bagh,Wednesday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,460
Noida City Centre,Monday,Night(9PM - 11PM),Rainy,Yes,Yes,575
Lajpat Nagar,Friday,Afternoon(11AM - 2PM),Clear,Yes,Yes,520
Botanical Garden,Saturday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,256
Central Secretariat,Tuesday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,429
Vaishali,Wednesday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,477
Chandni Chowk,Saturday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,206
Rajiv Chowk,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,810
Central Secretariat,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,No,371
Kashmere Gate,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1081
Saket,Thursday,Evening(4PM - 8PM),Cloudy,Yes,Yes,488
Vaishali,Saturday,Morning(7PM - 10 AM),Clear,Yes,Yes,140
Rajiv Chowk,Friday,Morning(7PM - 10 AM),Rainy,Yes,Yes,1053
Dwarka Sector 21,Tuesday,Night(9PM - 11PM),Cloudy,Yes,Yes,405
Saket,Monday,Evening(4PM - 8PM),Clear,Yes,Yes,555
Noida City Centre,Monday,Night(9PM - 11PM),Rainy,Yes,Yes,628
Central Secretariat,Friday,Evening(4PM - 8PM),Cloudy,Yes,Yes,432
Lajpat Nagar,Wednesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,543
Yamuna Bank,Wednesday,Evening(4PM - 8PM),Foggy,Yes,Yes,532
Hauz Khas,Wednesday,Evening(4PM - 8PM),Foggy,Yes,No,352
Chandni Chowk,Saturday,Night(9PM - 11PM),Foggy,Yes,Yes,312
New Delhi,Wednesday,Morning(7PM - 10 AM),Clear,No,Yes,1143
Vaishali,Wednesday,Evening(4PM - 8PM),Foggy,Yes,No,377
Dwarka Sector 21,Saturday,Morning(7PM - 10 AM),Clear,Yes,Yes,223
Vaishali,Saturday,Evening(4PM - 8PM),Foggy,No,Yes,294
Vishwavidyalaya,Friday,Night(9PM - 11PM),Foggy,Yes,Yes,612
Kashmere Gate,Thursday,Evening(4PM - 8PM),Foggy,Yes,Yes,1085
New Delhi,Saturday,Afternoon(11AM - 2PM),Clear,Yes,Yes,757
Kashmere Gate,Tuesday,Evening(4PM - 8PM),Rainy,Yes,Yes,1129
Dwarka Sector 21,Wednesday,Evening(4PM - 8PM),Clear,Yes,Yes,499
Hauz Khas,Thursday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,532
New Delhi,Monday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,1047
Hauz Khas,Friday,Afternoon(11AM - 2PM),Clear,Yes,Yes,464
Dwarka Sector 21,Thursday,Evening(4PM - 8PM),Clear,Yes,Yes,523
Yamuna Bank,Saturday,Morning(7PM - 10 AM),Rainy,Yes,No,143
Kashmere Gate,Wednesday,Evening(4PM - 8PM),Clear,Yes,Yes,1023
Hauz Khas,Wednesday,Night(9PM - 11PM),Foggy,Yes,No,435
Rohini West,Wednesday,Night(9PM - 11PM),Rainy,Yes,Yes,604
Vaishali,Thursday,Afternoon(11AM - 2PM),Clear,Yes,Yes,527
New Delhi,Wednesday,Night(9PM - 11PM),Clear,Yes,Yes,1076
Central Secretariat,Saturday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,149
Chandni Chowk,Thursday,Morning(7PM - 10 AM),Rainy,Yes,Yes,599
Lajpat Nagar,Wednesday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,461
Inderlok,Monday,Evening(4PM - 8PM),Clear,Yes,Yes,469
Shivaji Stadium,Monday,Morning(7PM - 10 AM),Rainy,Yes,Yes,624
Karol Bagh,Tuesday,Night(9PM - 11PM),Foggy,Yes,No,315
Shivaji Stadium,Wednesday,Morning(7PM - 10 AM),Clear,Yes,Yes,443
New Delhi,Wednesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,1060
Yamuna Bank,Thursday,Night(9PM - 11PM),Cloudy,Yes,Yes,433
Shivaji Stadium,Thursday,Night(9PM - 11PM),Foggy,No,Yes,672
New Delhi,Sunday,Night(9PM - 11PM),Clear,Yes,No,499
Vaishali,Wednesday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,496
Rohini West,Tuesday,Afternoon(11AM - 2PM),Cloudy,No,Yes,465
Kashmere Gate,Wednesday,Evening(4PM - 8PM),Clear,Yes,Yes,983
Shivaji Stadium,Saturday,Evening(4PM - 8PM),Rainy,Yes,Yes,311
Lajpat Nagar,Thursday,Evening(4PM - 8PM),Clear,Yes,No,288
Mayur Vihar,Wednesday,Afternoon(11AM - 2PM),Foggy,Yes,No,355
Vaishali,Thursday,Night(9PM - 11PM),Clear,Yes,Yes,530
Chandni Chowk,Wednesday,Night(9PM - 11PM),Rainy,Yes,No,461
Rohini West,Friday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,419
Vaishali,Thursday,Evening(4PM - 8PM),Foggy,No,Yes,709
New Delhi,Tuesday,Night(9PM - 11PM),Foggy,No,Yes,1114
Rajiv Chowk,Friday,Night(9PM - 11PM),Foggy,Yes,Yes,1124
Rohini West,Saturday,Night(9PM - 11PM),Foggy,Yes,Yes,375
Dwarka Sector 21,Wednesday,Night(9PM - 11PM),Rainy,Yes,Yes,494
Vishwavidyalaya,Sunday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,220
Vaishali,Saturday,Evening(4PM - 8PM),Rainy,Yes,Yes,198
Noida City Centre,Thursday,Night(9PM - 11PM),Rainy,Yes,Yes,538
Rajiv Chowk,Friday,Night(9PM - 11PM),Cloudy,Yes,Yes,1029
Shivaji Stadium,Saturday,Night(9PM - 11PM),Clear,No,Yes,138
New Delhi,Tuesday,Night(9PM - 11PM),Rainy,Yes,Yes,1053
Dwarka Sector 21,Sunday,Morning(7PM - 10 AM),Clear,Yes,Yes,162
Rohini West,Thursday,Night(9PM - 11PM),Foggy,Yes,Yes,592
Hauz Khas,Friday,Night(9PM - 11PM),Cloudy,Yes,Yes,489
Botanical Garden,Saturday,Night(9PM - 11PM),Cloudy,Yes,Yes,159
Central Secretariat,Friday,Morning(7PM - 10 AM),Clear,Yes,Yes,447
Rajiv Chowk,Friday,Afternoon(11AM - 2PM),Clear,No,Yes,984
Vishwavidyalaya,Saturday,Morning(7PM - 10 AM),Clear,Yes,Yes,200
Lajpat Nagar,Monday,Night(9PM - 11PM),Cloudy,No,Yes,569
Hauz Khas,Wednesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,549
Saket,Thursday,Night(9PM - 11PM),Cloudy,Yes,Yes,492
Hauz Khas,Thursday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,497
Saket,Sunday,Night(9PM - 11PM),Foggy,Yes,Yes,354
Rajiv Chowk,Sunday,Night(9PM - 11PM),Rainy,Yes,Yes,792
MG Road,Sunday,Afternoon(11AM - 2PM),Clear,Yes,Yes,238
Kashmere Gate,Thursday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,1160
Rohini West,Friday,Night(9PM - 11PM),Rainy,Yes,Yes,622
Central Secretariat,Sunday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,205
Vishwavidyalaya,Saturday,Morning(7PM - 10 AM),Clear,Yes,Yes,103
Dwarka Sector 21,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,591
Kashmere Gate,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,1049
MG Road,Thursday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,544
Inderlok,Saturday,Afternoon(11AM - 2PM),Clear,Yes,No,50
Chandni Chowk,Wednesday,Morning(7PM - 10 AM),Rainy,No,Yes,588
Rohini West,Wednesday,Evening(4PM - 8PM),Cloudy,Yes,Yes,455
Karol Bagh,Monday,Evening(4PM - 8PM),Foggy,No,Yes,560
New Delhi,Saturday,Evening(4PM - 8PM),Cloudy,Yes,Yes,648
Inderlok,Thursday,Night(9PM - 11PM),Foggy,Yes,Yes,665
Yamuna Bank,Sunday,Morning(7PM - 10 AM),Clear,Yes,Yes,145
Karol Bagh,Friday,Night(9PM - 11PM),Rainy,Yes,Yes,578
Dwarka Sector 21,Sunday,Afternoon(11AM - 2PM),Foggy,Yes,No,89
Vishwavidyalaya,Wednesday,Afternoon(11AM - 2PM),Cloudy,No,No,287
Lajpat Nagar,Wednesday,Evening(4PM - 8PM),Foggy,Yes,Yes,686
Kashmere Gate,Tuesday,Evening(4PM - 8PM),Foggy,Yes,No,798
Karol Bagh,Sunday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,311
Botanical Garden,Monday,Evening(4PM - 8PM),Foggy,Yes,Yes,643
Dwarka Sector 21,Wednesday,Evening(4PM - 8PM),Foggy,No,Yes,612
Kashmere Gate,Wednesday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,1207
Shivaji Stadium,Friday,Night(9PM - 11PM),Cloudy,Yes,Yes,565
Noida City Centre,Friday,Evening(4PM - 8PM),Foggy,Yes,Yes,564
Rohini West,Tuesday,Night(9PM - 11PM),Foggy,Yes,Yes,589
Botanical Garden,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,338
Saket,Tuesday,Morning(7PM - 10 AM),Rainy,No,Yes,593
Inderlok,Tuesday,Night(9PM - 11PM),Clear,No,No,294
Kashmere Gate,Friday,Night(9PM - 11PM),Clear,Yes,No,900
Hauz Khas,Sunday,Evening(4PM - 8PM),Clear,Yes,Yes,249
Hauz Khas,Sunday,Night(9PM - 11PM),Cloudy,Yes,Yes,303
Kashmere Gate,Sunday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,695
Vishwavidyalaya,Saturday,Afternoon(11AM - 2PM),Cloudy,Yes,Yes,207
Botanical Garden,Friday,Morning(7PM - 10 AM),Foggy,Yes,No,416
Rohini West,Monday,Afternoon(11AM - 2PM),Clear,Yes,Yes,534
Vishwavidyalaya,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,584
Karol Bagh,Thursday,Morning(7PM - 10 AM),Rainy,Yes,Yes,553
Hauz Khas,Monday,Night(9PM - 11PM),Clear,Yes,Yes,459
Rajiv Chowk,Sunday,Morning(7PM - 10 AM),Rainy,Yes,Yes,793
Central Secretariat,Thursday,Evening(4PM - 8PM),Rainy,Yes,Yes,517
Botanical Garden,Saturday,Evening(4PM - 8PM),Foggy,Yes,Yes,318
Rajiv Chowk,Friday,Evening(4PM - 8PM),Clear,Yes,Yes,885
Botanical Garden,Thursday,Evening(4PM - 8PM),Rainy,Yes,Yes,522
Shivaji Stadium,Saturday,Night(9PM - 11PM),Clear,Yes,Yes,260
Botanical Garden,Friday,Evening(4PM - 8PM),Rainy,Yes,Yes,603
Rohini West,Saturday,Morning(7PM - 10 AM),Rainy,Yes,Yes,320
Kashmere Gate,Monday,Evening(4PM - 8PM),Foggy,Yes,Yes,1115
Kashmere Gate,Tuesday,Night(9PM - 11PM),Clear,No,Yes,1096
Saket,Monday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,660
Dwarka Sector 21,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,684
Lajpat Nagar,Friday,Morning(7PM - 10 AM),Foggy,Yes,Yes,572
Hauz Khas,Saturday,Night(9PM - 11PM),Foggy,Yes,Yes,293
Vaishali,Thursday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,527
Hauz Khas,Thursday,Evening(4PM - 8PM),Rainy,Yes,No,447
Central Secretariat,Tuesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,536
Inderlok,Sunday,Morning(7PM - 10 AM),Clear,Yes,No,50
Central Secretariat,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,571
Lajpat Nagar,Tuesday,Morning(7PM - 10 AM),Clear,Yes,Yes,522
New Delhi,Friday,Afternoon(11AM - 2PM),Rainy,Yes,No,888
Lajpat Nagar,Friday,Evening(4PM - 8PM),Foggy,Yes,Yes,565
Botanical Garden,Saturday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,180
Rohini West,Sunday,Night(9PM - 11PM),Cloudy,Yes,Yes,179
Vishwavidyalaya,Tuesday,Evening(4PM - 8PM),Rainy,No,Yes,619
Dwarka Sector 21,Monday,Morning(7PM - 10 AM),Rainy,Yes,Yes,588
MG Road,Friday,Evening(4PM - 8PM),Cloudy,Yes,Yes,356
Hauz Khas,Sunday,Night(9PM - 11PM),Foggy,Yes,Yes,295
Mayur Vihar,Saturday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,264
Mayur Vihar,Monday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,533
Chandni Chowk,Friday,Night(9PM - 11PM),Foggy,Yes,Yes,608
Mayur Vihar,Friday,Morning(7PM - 10 AM),Rainy,Yes,No,365
Hauz Khas,Saturday,Morning(7PM - 10 AM),Clear,Yes,Yes,167
Karol Bagh,Saturday,Afternoon(11AM - 2PM),Clear,Yes,Yes,208
Hauz Khas,Wednesday,Afternoon(11AM - 2PM),Clear,Yes,Yes,498
MG Road,Thursday,Evening(4PM - 8PM),Foggy,Yes,No,383
Vishwavidyalaya,Thursday,Night(9PM - 11PM),Rainy,Yes,Yes,594
Inderlok,Monday,Night(9PM - 11PM),Cloudy,Yes,Yes,520
Saket,Thursday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,517
Mayur Vihar,Monday,Morning(7PM - 10 AM),Clear,Yes,Yes,570
Saket,Sunday,Evening(4PM - 8PM),Clear,Yes,Yes,177
Kashmere Gate,Friday,Afternoon(11AM - 2PM),Foggy,Yes,Yes,1157
Saket,Wednesday,Evening(4PM - 8PM),Cloudy,Yes,Yes,603
Botanical Garden,Wednesday,Evening(4PM - 8PM),Foggy,No,Yes,628
Mayur Vihar,Friday,Night(9PM - 11PM),Cloudy,Yes,Yes,404
Noida City Centre,Saturday,Evening(4PM - 8PM),Rainy,No,Yes,241
Shivaji Stadium,Tuesday,Night(9PM - 11PM),Foggy,Yes,Yes,620
Shivaji Stadium,Tuesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,566
Rajiv Chowk,Thursday,Morning(7PM - 10 AM),Foggy,Yes,Yes,1173
Central Secretariat,Saturday,Afternoon(11AM - 2PM),Clear,Yes,Yes,162
Central Secretariat,Monday,Morning(7PM - 10 AM),Clear,No,Yes,527
Noida City Centre,Sunday,Night(9PM - 11PM),Cloudy,Yes,Yes,194
Vaishali,Wednesday,Evening(4PM - 8PM),Rainy,Yes,Yes,601
Yamuna Bank,Thursday,Evening(4PM - 8PM),Foggy,Yes,Yes,631
Chandni Chowk,Friday,Morning(7PM - 10 AM),Clear,Yes,Yes,343
Noida City Centre,Saturday,Night(9PM - 11PM),Foggy,Yes,Yes,298
Rohini West,Wednesday,Evening(4PM - 8PM),Cloudy,No,Yes,545
Rohini West,Monday,Morning(7PM - 10 AM),Cloudy,Yes,Yes,441
Central Secretariat,Monday,Night(9PM - 11PM),Rainy,Yes,Yes,632
Dwarka Sector 21,Tuesday,Night(9PM - 11PM),Cloudy,Yes,No,288
Noida City Centre,Thursday,Evening(4PM - 8PM),Foggy,Yes,Yes,567
Vishwavidyalaya,Friday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,587
Chandni Chowk,Wednesday,Afternoon(11AM - 2PM),Rainy,Yes,Yes,669
Rohini West,Sunday,Night(9PM - 11PM),Clear,Yes,Yes,208
Kashmere Gate,Monday,Night(9PM - 11PM),Foggy,Yes,Yes,1037
Noida City Centre,Wednesday,Morning(7PM - 10 AM),Cloudy,No,Yes,514
Botanical Garden,Friday,Night(9PM - 11PM),Clear,Yes,Yes,502
Noida City Centre,Wednesday,Morning(7PM - 10 AM),Foggy,Yes,Yes,656
Chandni Chowk,Thursday,Morning(7PM - 10 AM),Foggy,Yes,No,396
Chandni Chowk,Tuesday,Morning(7PM - 10 AM),Rainy,Yes,Yes,653
